식별자,뉴스제목,뉴스본문,Label
1_00001,"""술상 차려와라""…갑질한 39사단장 승진","운전병과 공관병에게 폭언과 불합리한 지시로 '갑질' 논란을 불러일으킨 육군 제39사단장이 26일부로 보직해임됐다. 

육군은 이날 ""육군 검찰의 조사결과 민원제기 내용 중 일부가 사실로 확인됐고 규정위반 사실도 확인돼 해당 사단장을 보직해임 심의위원회에 회부 7월 26일부로 보직해임했으며 별도의 징계절차를 진행 중에 있다""고 밝혔다. 

보직해임이란 조사가 진행중인 상황에서 공관병 폭언 및 폭행, 사적 지시 등 의혹 일부가 사실로 확인돼 사단장 임무에서 배제시킨 일종의 행정적 절차다.
조사가 완료되면 징계절차에 착수한다. 

육군 검찰은 지난 6월말 해당 사단장의 폭언·폭행 등 병영부조리 의혹과 관련해 6월 27일부터 부대관계자, 사단장 및 피해자를 대상으로 조사를 실시했다. 

육군은 ""앞으로도 육군은 장병들의 인권과 군기강을 저해하는 행위에 대해 지위고하를 막론하고 관련규정에 따라 엄정하고 강력하게 처리해 나갈 것""이라고 강조했다. 앞서 군인권센터는 기자회견을 열고 ""복수의 제보자로부터 육군 제39사단 소속 문모 소장(육사43기)이 공관병과 운전병, 당번병 등 휘하 장병들에게 온갖 갑질을 저지르고 욕설과 폭행까지 가했다는 제보를 입수했다""고 밝혔다. 

군인권센터에 따르면 문 소장은 2015년 사단장 보임 후 공관 관리병에게 술상을 차려올 것을 지시하고, 술상을 준비하던 공관병의 목덜미 및 뺨을 때린 것으로 알려졌다. 또한 자신의 대학원 입학시험 준비 과제의 자료조사를 공관병에게 지시했다.",1
1_00002,"고민정 부대변인 ""새벽 5시 30분부터 저녁 9시까지 중간에 쉬는 시간 없이 일한다""","고민정(38) 청와대 부대변인이 출퇴근시간을 공개했다.

2일 네이버TV에 KTV '체인지대한민국 시민의 한 수' 고민정 부대변인 방송분이 올라왔다. 지난달 29일 KTV '시민의 한 수'에서 개그맨 노우진(37) 씨는 고민정 부대변인을 찾아가 대화를 나누었다. 

노우진 씨는 ""(전직 아나운서인데) 아나운서 생활도 굉장히 힘들지 않나""라며 그때와 지금 일과가 어떻게 다른지 물었다. 고민정 부대변인은 ""그때는 밤 12시 생방송도 해서 근무가 쉽지 않았다, 지금은 어휴, 그때 생각하면...""이라며 운을 뗐다. 고민정 부대변인은 ""그때가 좋았구나""라고 말해 노우진 씨를 놀라게 했다. 

고민정 부대변인은 ""지금 집에서 새벽 4시 30분에 나오는데 저녁 8시에 집에 간다""라며 ""중간에 쉬는 시간은 하나도 없고 계속 일한다""라고 말했다. 고 부대변인은 ""일요일에도 나와 일해야 한다""라고 강조했다.

고 부대변인은 ""1년 365일 새로운 일이 발생하는데 그런 걸 생각하면 토요일도 나와야 하는 게 아닌가 싶지만, 그땐 공식적으로는 쉰다""라고 설명했다. 노우진 씨는 ""공식적으로는 쉬는 날이지만 일이 있으면 나오셔야 할 텐데 무게감이 상당하겠다""라고 말했다.

고민정 부대변인은 2004년 KBS 30기 아나운서 공채에 합격했다. 그는 KBS2 '무한지대 큐', KBS1 '생로병사의 비밀' 등에 출연해 이름을 알렸다. 

지난 1월 고 부대변인은 KBS에 사표를 내고 더불어민주당 문재인 당시 대선 후보 캠프에 들어갔다. ",1
1_00003,"똑똑해진 구글 번역기, '문장' 아닌 '단어'를 번역하는 방식의 신경망 기계번역","똑똑해진 ""구글 번역기를 이용해 더 이상 영어를 공부할 필요가 없는 시대가 올까?"" 

17일(이하 현지시각) IT 매체 지디넷은 구글 번역팀이 '신경망 기계번역(Neutral Machine Translate)'을 통해 총 8개 언어에 대한 번역 서비스를 적용한다고 밝혔다. 놀라운 건 우리 '한국어'도 포함됐다는 점이다.

구글은 지난 15일 공식 블로그를 통해 총 8개 언어(한국어, 영어, 중국어, 프랑스어, 독일어, 스페인어, 일본어, 터키어) 간 번역에 '신경망 기계번역'을 적용한다고 밝혔다. 이는 전세계 인구 3분의 1에 해당하는 모국어다.'신경망 기계번역'이란 '단어' 단위가 아닌 '문장'을 통째로 번역하는 방식이다.

의미만을 번역하는 단어 번역과 달리, 맥락을 파악할 수 있다는 점에서 더욱 정교한 번역 작업이다. 구글은 해당 서비스가 영어와 한국어처럼 어순이 다른 언어를 번역할 때도 훨씬 부드럽고 읽기 쉬운 번역을 해낸다고 설명했다.

과거 번역 해석 수준이 30~40% 수준이라면 현재는 80~90%까지 가능해진 셈이다. 구글은 향후 구글 번역이 서비스하고 있는 103개의 모든 언어에도 '신경망 기계 번역'을 적용할 계획이다.",1
1_00004,"블루핸즈자동차, ‘수해 특별점검 서비스’ 실시","현대·기아자동차가 수해가 자주 발생하는 기간인 7월 1일부터 10월 31일까지 집중호우, 태풍 피해 지역 소비자를 위한 ‘수해 특별점검 서비스’를 실시한다고 지난 19일 밝혔다. 

현대·기아자동차는 이 기간 수해 현장에 나가 침수, 태풍 피해를 입은 차량의 엔진, 변속기를 비롯한 주요 부품에 대한 무상점검을 실시한다. 

현장 조치가 어려운 차량은 전국 직영 서비스센터나 블루핸즈(현대), 오토큐(기아)로 입고해 수리할 계획이다.

수리 비용은 현대 모비스와 함께 최대 50%까지 할인 가능하다.(자동차 보험 미가입 고객 대상, 300만 원 한도 내 지원). 

현대·기아자동차는 수리로 인해 자동차를 쓸 수 없는 기간 렌터카를 대여하면 최장 10일간 렌터카 비용 50%를 지원하며, 수리 완료 후에는 무상 세차 서비스 등을 제공할 예정이다.

다만 영업용 차량은 행사 대상에서 제외된다. 

현대·기아자동차는 수해 지역에 긴급지원단을 파견해 생수, 라면 등 생필품을 지원하고 이동식 세탁 차량을 통해 무료 세탁 서비스를 제공하는 수해 지역 ‘긴급 지원 서비스’도 실시한다. 

현대·기아자동차 관계자는 “장마철에 접어들며 집중호우나 태풍으로 인해 피해를 입은 고객님들에게 깊은 위로의 말씀을 전한다”며 “현대·기아차가 이번에 진행하는 ‘수해 특별점검 서비스’를 통해 빠른 수해 복구에 조금이나마 힘이 되어 드리겠다”고 말했다. 

자세한 사항은 현대·기아자동차 공식 홈페이지나 고객센터로 문의하면 된다.",1
1_00005,PC 게임 '어쌔신 크리드3' 유료로 배포된다,"유비소프트가 창립 30주년을 기념해 PC 게임 ‘어쌔신 크리드3’를 무료 증정한다.

‘어쌔신 크리드3’는 미국시각으로 7일부터 유비소프트 홈페이지에서 받을 수 있다. 6일(미국시각)까지는 ‘파크라이: 블러드 드래곤’을 무료로 내려받을 수 있다. 단, 유비소프트가 서비스하는 온라인 게임 유통 플랫폼인 ‘유 플레이’에 가입해야하고, ‘유플레이’ 프로그램을 설치해야 한다.‘어쌔신 크리드3’는 온라인 게임 유통 플랫폼 ‘스팀’에서 2만 1990원에 판매되고 있다.

영국 매체 유로게이머에 따르면, 유비소프트는 앞서 ‘페르시아의 왕자: 시간의 모래’, ‘스프린터 셀’, ‘레이맨 오리진’, ‘더 크루’를 무료 배포했었다.
어쌔신 크리드3’는 유비소프트 몬트리올이 개발하고 유비소프트가 유통하는 액션 어드벤처 게임이다.

지난 2012년 가을 PS3, 엑스박스360, PC로 발매됐다.‘어쌔신 크리드3’는 매끄러운 전투와 ‘어쌔신 크리드’ 시리즈에서 처음 선보인 해상전이 호평받았다. 1300만장이 넘게 팔려 ‘어쌔신 크리드’ 시리즈 사상 최다 판매량을 올리기도 했다. 게임 '어쌔신 크리드3' 스크린샷‘어쌔신 크리드’는 게임 인기에 힘입어 영화로 제작됐다.

배우 마이클 패스밴더(Michael Fassbender)가 주연을 맡았다. 내년 1월 개봉한다.",1
1_00006,모니터 3개  달린 스마트폰'이 CES2017에서 도난당했다,"레이저 홈페이지세계 최대 가전제품 박람회 ‘CES2017’에서 공개된 모니터 3개가 달린 노트북(Laptop)이 도난당하는 사고가 발생했다. 

지난 5일(이하 현지시각) 미국 게임용 기기 전문 업체 ‘레이저’(Razer)는 모니터 3개가 달린 노트북 ‘프로젝트 밸러리’(Project Valerie)를 CES2017에서세계 최초로 공개했다. 

레이저는 그러나 “8일 오후 4시쯤 ‘프로젝트 밸러리’의 프로토타입(상품화 직전 성능 검증을 위해 만든 시제품) 2대가 도난당했다”고 지난 9일 페이스북을 통해 밝혔다.",1
1_00007,대통령에게 퍼스트 도그 '마약방석' 선물한 추미애 대표,"이정미 정의당 대표가 문재인 대통령에게 강아지 용품을 선물했다.

문 대통령은 반려견 '토리'를 입양해 키우고 있다. 

이 대표는 19일 오전 문재인 대통령 초청으로 추미애 더불어민주당 대표, 이혜훈 바른정당 대표 등 여야 4당 대표들과 청와대 상춘재를 찾아 오찬 회동을 가졌다.

홍준표 자유한국당 대표는 청주 수해지역 자원봉사를 이유로 회동에 불참했다.

4당 대표들과 문 대통령은 녹지원 냇가의 백악교 부근을 산책한 뒤, 상춘재로 옮겨 오찬을 했다.

문 대통령은 최근 한미정상회담, G20 정상회의 등에서 거둔 성과를 대표들에게 설명했다.

오찬에 앞서 눈길을 끄는 장면이 있었다.

이 대표가 문 대통령을 위해 준비한 '깜짝 선물'이었다.

이날 이정미 대표는 문 대통령에게 퍼스트 도그 '토리'를 위한 방석(마약방석, 아이스방석)을 선물했다.

편지와 함께였다. 이 대표는 편지에 ""새로운 대한민국에서는 모든 생명이 존중받기를 바란다""며 ""대통령께서 동물 복지를 위해서도 노력해주실 것을 부탁드린다""고 적었다.

문 대통령은 선물을 받고 ""감사하다""고 말한 것으로 알려졌다. 이날 오찬은 중식 코스요리였다.

오찬은 오전 11시 35분부터 1시 30분까지 약 115분 가량 이어졌다.

문 대통령이 4당 대표들과 회동을 한 건 이번이 처음이다.

회동에는 홍준표 정책실장, 정의용 국가안보실장, 전병헌 정무수석도 배석했다. ",1
1_00008,이건희 회장 건강 악화됐다.,"이건희(75) 삼성전자 회장 건강이 양호한 상태라는 보도가 나왔다. 이 회장은 2014년 4월 급성 심근경색으로 쓰러진 뒤 서울 삼성병원에서 치료받고 있다.

“이건희 회장 건강상태 양호하다”

한겨레 신문은 지난 1일 오후 삼성 그룹 관계자 입을 빌려 ""의사소통이 어렵다는 것을 제외하면 이건희 회장 건강 상태가 아주 양호하다. 건강한 상태다""라고 전했다. 이어 ""침대에만 누워 있지 않고 간병인의 도움을 받아 휠체어를 타고 병실 복도를 오가기도 한다""고 덧붙였다.

삼성그룹 미래전략실 등은 2014년 ""이 회장 건강에 조금씩 차도가 있다""는 소식을 외부에 전하기도 했다. 이후 미래전략실이 2015년부터 브리핑을 중지하면서 이 회장 건강 상황도 밖으로 알려지지 않았다. 

지난해 6월 '이건희 회장 사망설'이 증권가를 중심으로 유포되기도 했다. 당시 삼성그룹 고위 관계자는 ""전혀 사실이 아니다""라고 선을 그었다. 

삼성서울병원은 이 회장이 입원중인 20층 브이아이피(VIP)병동의 출입을 통제하고 있는 것으로 알려졌다.",1
1_00009,"취업 특혜 제보 조작' 이용주 의원, 피해자 신분으로 출두","제19대 대선 당시 국민의당 공명선거추진단장을 맡았던 이용주 의원이 26일 오후 서울남부지검에 '문준용 씨 취업 특혜 제보 조작' 사건과 관련해 참고인 신분으로 소환됐다.

이 의원은 문재인 대통령 아들 문준용 씨 취업 특혜 제보에 대한 조작된 증거를 묵인했거나 의혹 공개 과정에서 검증을 소홀하게 했다는 의혹을 받고 있다.

또한 지난 4월 24일 '고용정보원에서 문준용 씨 특혜 채용 10여건을 발견했다'는 내용으로 열었던 기자회견과 관련해 허위 사실을 대중에게 유포했다는 의혹도 받고 있다.

이 의원은 검찰 조사에 앞서 취재진에게 ""우리는 국민들을 결코 속이려 하지 않았다. 제보 과정에 조작된 증거가 있었다는 사실을 전혀 알지 못했다""고 말했다.

이 의원은 또 ""본의 아니게 피해 입으신 문재인 대통령과 문준용 씨에 대하여도 사과 말씀을 드린다. 그분들께서 받으셨을 충격과 실망감에 대해서는 입이 열 개라도 할 말이 없다. 다시 한 번 사과드린다""고 덧붙였다.

검찰은 이날 조사에서 추진단 최종 의사 결정권자이자 보고체계 정점에 있던 이 의원이 제보 내용은 허위임을 인식했을 가능성을 조사할 예정으로 알려졌다.

고개 숙여 사죄하고 검찰청으로 들어서는  이용주 의원 사진이다.",1
1_00010,다른 기업인들 앞에서 정치인 칭찬하는 문재인 대통령,"문재인 대통령은 27일 청와대에서 열린 주요 기업인들과의 간담회에서 중견기업인 오뚜기를 '갓뚜기'라고 언급하며 치켜세웠다. 

문 대통령은 이날 저녁 청와대 녹지원에서 기업인들과 맥주를 곁들인 '호프 미팅'에서 함영준 오뚜기 회장을 향해 ""요즘 젊은 사람들이 오뚜기를 '갓뚜기'로 부른다면서요?""라고 물었다. '갓뚜기'는 누리꾼들 사이에 통하는 오뚜기의 별명으로, 고유명사 앞에 '갓'(GOD : 신)을 덧붙이는 건 열렬한 지지와 성원을 나타낸다. 

이어 ""고용도 그렇고, 상속을 통한 경영승계도 그렇고, 사회적 공헌도 그렇고, 아마도 아주 착한 기업 이미지가 '갓뚜기'라는 말을 만들어낸 것""이라며 ""젊은 사람들이 아주 선망하는 기업이 된 것 같다""라고 추어올렸다.

그러면서 ""우리 새정부의 경제 정책에도 아주 잘 부합하는 그런 모델기업이기도 한데, 나중에 그 노하우도 한번 말씀해주시면 좋겠다""라고 말했다. 

이에 함 회장은 ""대단히 송구스럽다""고 연신 몸을 낮췄다. 그러자 문 대통령은 ""결국은 어찌 보면 기업도 국민 성원이 가장 큰 힘이니까 앞으로 잘 발전할 수 있는 힘이 되리라 믿는다""라고 다시 함 회장을 격려하기도 했다.

오뚜기는 고용·경영승계·사회공헌 등 여러 측면에서 사회적으로 높은 평가를 받고 있다. 우선 오뚜기는 마트 시식사원까지 정규직으로 채용하면서 지난 3월 말 기준 전체 직원 3099명 가운데 기간제 근로자(비정규직)는 36명으로, 비중이 1.16%에 불과하다.

오뚜기가 2세 경영에 들어가는 과정도 화제가 됐다. 함영준 회장은 지난해 12월 22일 선대회장으로부터 오뚜기 46만5543주(13.53%)와 계열사 조흥 주식(1만8080주, 3.01%)을 상속받았으며 1500억 원에 이르는 상속세를 부과 받아 5년 동안 분납하는 중이다. 이 같은 정직한 상속세 납부는 삼성 이재용 부회장의 경영승계 과정과 비교 되면서 주목받았다. 

창업자인 고 함태호 명예회장의 심장병 어린이 수술비용 지원과 장애인 재활지원 사업 후원 등 사회공헌 활동 역시 좋은 평가를 받고 있다. 함 회장은 사회복지법인 밀알복지재단에 개인적으로 300억 원대의 주식을 기부했고, 이와 별도로 1992년부터 심장병 어린이들을 후원했다. 함 회장의 후원으로 건강을 되찾은 아이들은 4357명에 달하는 것으로 알려졌다. 

오뚜기는 또 다른 경쟁업체들과 달리 지난 2008년부터 10년 가까이 주력 상품인 라면의 가격을 동결하고 있기도 하다. ",1
